iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.213884703185,0.185012173144,0.242777777778,0.315,0.038979857
10,0.0989346244953,0.106946949028,0.757222222222,0.685,0.432215799
20,0.0970433197996,0.112459582074,0.757222222222,0.685,0.863744586999
30,0.086520996672,0.103878005546,0.757222222222,0.685,1.254191522
40,0.0859872932762,0.0981196566376,0.757222222222,0.685,1.637734082
50,0.084799014566,0.100058386069,0.757222222222,0.685,2.065994073
60,0.0861565762827,0.103283650116,0.757222222222,0.685,2.482612218
70,0.0833252663147,0.104773348688,0.757222222222,0.685,2.883862975
80,0.0879148827035,0.108116528412,0.757222222222,0.685,3.274423158
90,0.0827317629286,0.104559436043,0.757222222222,0.685,3.663510581
100,0.0756436830639,0.0958418390608,0.757222222222,0.685,4.095894047
110,0.0822952966075,0.103771573931,0.757222222222,0.685,4.496420179
120,0.0780912493931,0.101545058902,0.757222222222,0.685,4.904253496
130,0.0794282248902,0.102310419567,0.757222222222,0.685,5.30187297
140,0.0758537107924,0.0987808102573,0.757222222222,0.685,5.707716973
150,0.0723298820099,0.0943201499937,0.757222222222,0.685,6.097146872
160,0.0762256097945,0.100203887087,0.757222222222,0.685,6.486253097
170,0.0762792804494,0.100172148781,0.757222222222,0.685,6.878379281
180,0.0768105774549,0.103379271534,0.757222222222,0.685,7.262986085
190,0.074342362283,0.0984706128497,0.757222222222,0.685,7.663177886
200,0.0776591946857,0.100196984503,0.757222222222,0.685,8.135174239
210,0.0769124760099,0.104027018334,0.757222222222,0.685,8.553200787
220,0.0770755503472,0.0985562420764,0.757222222222,0.685,8.979400088
230,0.0766475347603,0.0987767509641,0.757222222222,0.685,9.369301852
240,0.0745214072688,0.0958617348151,0.757222222222,0.685,9.746470689
250,0.0750022514626,0.0984589952477,0.757222222222,0.685,10.132345107
260,0.0708627609028,0.0912600255358,0.757222222222,0.685,10.511771438
270,0.0732685133151,0.098167448739,0.757222222222,0.685,10.871199679
280,0.076954604729,0.0994016293809,0.757222222222,0.685,11.243031565
290,0.0754630883959,0.0993782037884,0.757222222222,0.685,11.609436798
300,0.0743969319353,0.0937681356928,0.757222222222,0.685,11.994750218
310,0.0773184133632,0.0970578569978,0.757222222222,0.685,12.392391595
320,0.0718251832683,0.0913750471008,0.757222222222,0.685,12.807252244
330,0.0721058231024,0.091706312066,0.757222222222,0.685,13.215764266
340,0.0717935543735,0.0909280000874,0.757222222222,0.685,13.61589106
350,0.0752559019407,0.102037432604,0.757222222222,0.685,13.99457149
360,0.0722099690864,0.0949932104839,0.757222222222,0.685,14.363803509
370,0.0748388888249,0.0961879398017,0.757222222222,0.685,14.741373836
380,0.0719738452949,0.0911823097128,0.757222222222,0.685,15.141599854
