iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.0935609938482,0.109075615031,0.757222222222,0.685,0.00178788100004
10,0.104892560641,0.115625493724,0.793888888889,0.685,0.0211754310001
20,0.108645338706,0.115625493724,0.794444444444,0.685,0.040564961
30,0.110597204861,0.11684142689,0.794444444444,0.685,0.0623437700002
40,0.110506169778,0.11684142689,0.796111111111,0.685,0.0865995990002
50,0.109239542869,0.114343151183,0.818888888889,0.73,0.10961986
60,0.109248068088,0.114343130017,0.818888888889,0.73,0.131674837
70,0.111796856568,0.11684142689,0.775,0.685,0.154092383
80,0.112067269525,0.11684142689,0.775555555556,0.685,0.176910597
90,0.112563584007,0.11684142689,0.766666666667,0.685,0.200566788
100,0.113139330208,0.11684142689,0.757222222222,0.685,0.224230115
110,0.112435669681,0.112111814981,0.772222222222,0.77,0.248547215
120,0.112428031334,0.112111814981,0.772222222222,0.77,0.273392246
130,0.112417960241,0.112111814981,0.772222222222,0.77,0.298810442
140,0.16109068533,0.150309300057,0.242777777778,0.315,0.323886197
150,0.196616017648,0.180537020375,0.242777777778,0.315,0.348497227
160,0.196616026024,0.180537020375,0.242777777778,0.315,0.372941311
170,0.195769816609,0.180352853732,0.242777777778,0.315,0.397492826
180,0.226030129107,0.206995754396,0.242777777778,0.315,0.421188334999
190,0.199810914673,0.18393084298,0.242777777778,0.315,0.444850577999
200,0.251676060948,0.229376215424,0.242777777778,0.315,0.469493398999
210,0.252801288756,0.231765836685,0.242777777778,0.315,0.494821541
220,0.252800537715,0.231765183923,0.242777777778,0.315,0.518631260999
230,0.252618812753,0.231765183923,0.242777777778,0.315,0.543717405
240,0.210849160364,0.193059238473,0.242777777778,0.315,0.56742554
250,0.210865480386,0.193059364477,0.242777777778,0.315,0.591194153999
260,0.210890568707,0.194039303053,0.242777777778,0.315,0.614626454999
270,0.210890608409,0.194039303053,0.242777777778,0.315,0.637880399
280,0.202461780201,0.194039477871,0.242777777778,0.315,0.660526082999
290,0.193597294204,0.191940683269,0.322777777778,0.315,0.683082224
300,0.135872067709,0.144231210814,0.444444444444,0.38,0.704363737
310,0.138176382177,0.147480067014,0.444444444444,0.38,0.725541948
320,0.132221227002,0.144154414464,0.488888888889,0.405,0.746796878999
330,0.13240437829,0.144432452604,0.488888888889,0.405,0.767671354999
340,0.132533173078,0.144596615463,0.487222222222,0.4,0.788718915999
350,0.145715650307,0.155801092191,0.390555555556,0.32,0.809699510999
360,0.148537052001,0.156533601182,0.37,0.315,0.831438150999
370,0.152437360744,0.162379961979,0.386111111111,0.315,0.853577791999
380,0.189549262667,0.196180203459,0.386111111111,0.315,0.877737351999
390,0.188290610871,0.193989920941,0.386111111111,0.315,0.900049090999
400,0.206899518327,0.21532835517,0.242777777778,0.315,0.919900274
410,0.20219245334,0.2134880086,0.242777777778,0.315,0.939393072999
420,0.236698304338,0.244718245793,0.242777777778,0.315,0.960406385999
430,0.236654201013,0.244896308585,0.242777777778,0.315,0.981710906999
440,0.236773897604,0.245384369779,0.242777777778,0.315,1.002707881
450,0.193342460683,0.178336095599,0.242777777778,0.315,1.023830954
460,0.194104139626,0.180099285628,0.237777777778,0.3,1.04376091
470,0.190773509645,0.178461594733,0.237777777778,0.3,1.064173817
480,0.190094082665,0.177401441411,0.241666666667,0.31,1.084814798
490,0.19512414348,0.182270352997,0.242222222222,0.315,1.106765689
500,0.236853253143,0.218757669051,0.242777777778,0.315,1.127741528
510,0.239734431442,0.220371261774,0.242777777778,0.315,1.149037199
520,0.239321097756,0.218474310617,0.242777777778,0.315,1.169489928
530,0.251891832949,0.229503301827,0.242777777778,0.315,1.189172879
540,0.247323201768,0.225413356645,0.242777777778,0.315,1.208976708
550,0.259809830221,0.23850842588,0.242777777778,0.315,1.229717724
560,0.259601932375,0.239134093542,0.242777777778,0.315,1.250617021
570,0.273896386803,0.25795960872,0.242777777778,0.315,1.271951147
580,0.273895497215,0.257959347472,0.242777777778,0.315,1.293147206
590,0.273483412148,0.25707798641,0.242777777778,0.315,1.31434253
600,0.272349264833,0.257058100918,0.242777777778,0.315,1.335499546
610,0.273378553677,0.259124838107,0.242777777778,0.315,1.357786563
620,0.229979162371,0.214489496753,0.242777777778,0.315,1.380739277
630,0.230430165853,0.216608804897,0.242777777778,0.315,1.402638788
640,0.251778858448,0.22701523683,0.242777777778,0.315,1.425105452
650,0.246182810579,0.224756792536,0.242777777778,0.315,1.44767698
660,0.246181355156,0.224756792536,0.242777777778,0.315,1.472412863
