iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.116995516115,0.119086454842,0.757222222222,0.685,0.0516539
10,0.0933286080873,0.106234094284,0.757222222222,0.685,0.576812243
20,0.0902714780312,0.100794107086,0.757222222222,0.685,1.102356644
30,0.0864997405917,0.0950531537867,0.786666666667,0.69,1.621887636
40,0.0836025791101,0.0967465756116,0.768333333333,0.685,2.102112898
50,0.0715423061996,0.0839595753972,0.757222222222,0.685,2.626561121
60,0.0897860222312,0.0896775611033,0.759444444444,0.705,3.134103244
70,0.0746314813199,0.0875926156837,0.757222222222,0.685,3.62182552
80,0.0753696344944,0.0797497674324,0.757222222222,0.685,4.154581904
90,0.0691053800111,0.0787997933262,0.788333333333,0.735,4.658602482
100,0.071117374714,0.0752026048233,0.767222222222,0.725,5.12711667
110,0.069381031624,0.0755533876572,0.783888888889,0.74,5.617823019
120,0.0684360586133,0.0737045929813,0.801111111111,0.795,6.123685269
130,0.0706659187823,0.0775263965212,0.793888888889,0.775,6.615566664
140,0.0686944522754,0.0754551136407,0.794444444444,0.77,7.14044121
150,0.0688860992836,0.0799769913929,0.840555555556,0.785,7.640023232
160,0.0726455237342,0.0845835064821,0.783333333333,0.745,8.154265022
170,0.0695602246668,0.0831996962132,0.757222222222,0.685,8.66080211099
180,0.0696440999544,0.0787739241645,0.778888888889,0.72,9.16317746399
190,0.0622924927648,0.066974369933,0.792222222222,0.77,9.684539545
200,0.0697044913522,0.07596193363,0.792777777778,0.77,10.175572581
210,0.0714540573418,0.0860322976778,0.794444444444,0.77,10.691317615
220,0.0628574801707,0.0796017251873,0.796111111111,0.77,11.19782916
230,0.0624888182256,0.0786894693986,0.802222222222,0.82,11.698964737
240,0.0617556298549,0.0779146145556,0.813888888889,0.825,12.235317577
250,0.0622657673435,0.0793547669126,0.813888888889,0.825,12.754845743
260,0.0607911112718,0.0665341048541,0.811666666667,0.805,13.26717693
270,0.0629527401054,0.081485137982,0.815,0.81,13.771948897
280,0.0657048980301,0.0851452543735,0.796666666667,0.8,14.250387521
290,0.0644208268405,0.0837992766383,0.822777777778,0.815,14.743398781
300,0.0637493689663,0.0823996196921,0.836666666667,0.825,15.20723586
310,0.0638938365516,0.0821270703412,0.835,0.835,15.698130443
320,0.0710609901992,0.0915390541142,0.801666666667,0.75,16.226623039
330,0.0627874503745,0.0845430354105,0.823888888889,0.81,16.760241841
340,0.0766941034332,0.11402078492,0.782777777778,0.6,17.252451799
350,0.065419266086,0.0704747634561,0.827222222222,0.82,17.719769814
360,0.0724348775668,0.0927964013161,0.766111111111,0.69,18.200887295
370,0.0628053256798,0.0643764877053,0.825555555556,0.825,18.716941931
380,0.0626649187413,0.0698399227521,0.796111111111,0.7,19.206709092
390,0.0584994022258,0.0569522187967,0.855555555556,0.86,19.70594204
400,0.06340920454,0.0682924670027,0.792222222222,0.69,20.249075152
410,0.0609015419535,0.0709286588985,0.872222222222,0.86,20.782514408
420,0.0638662210642,0.0680180091177,0.791666666667,0.71,21.284435394
430,0.0629974860338,0.0649886830226,0.811666666667,0.81,21.806478957
440,0.06096610247,0.0664552947837,0.831666666667,0.83,22.334656935
450,0.0613168985078,0.0659151026557,0.831666666667,0.815,22.877664091
460,0.0748960051138,0.0815381694477,0.805,0.8,23.415220544
470,0.0646884560518,0.067144554573,0.823888888889,0.83,23.954580831
480,0.0639933085436,0.070222004491,0.827777777778,0.82,24.486980479
490,0.0637453942828,0.0685587019908,0.823333333333,0.82,25.0281957
500,0.0644503555055,0.0681493815661,0.825,0.83,25.565308747
510,0.066868080219,0.0695986096637,0.821111111111,0.83,26.101681935
520,0.0662600083828,0.0756342965244,0.767222222222,0.75,26.626577217
530,0.0647809950019,0.0688161487361,0.815555555556,0.785,27.159448039
540,0.0632550445582,0.0659419633446,0.811111111111,0.84,27.687257488
550,0.0621211845355,0.068738846031,0.842222222222,0.845,28.219455682
560,0.0678097907152,0.083165834714,0.856111111111,0.87,28.77873775
570,0.0604894407671,0.061976879658,0.850555555556,0.855,29.286129268
580,0.0585114948292,0.060364491385,0.87,0.87,29.783854193
590,0.0552934631534,0.0538319065579,0.872777777778,0.885,30.325893825
