iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.116942740039,0.127663430571,0.695555555556,0.455,0.00208056299999
10,0.113960657005,0.122511397737,0.773333333333,0.685,0.022848169
20,0.115271278532,0.120932331381,0.757222222222,0.685,0.043687265
30,0.112034440108,0.106954445789,0.762222222222,0.69,0.0640533040001
40,0.10007874276,0.106101409274,0.757222222222,0.685,0.084639946
50,0.100048759128,0.106101329484,0.757222222222,0.685,0.105266266
60,0.0977549807729,0.101908088493,0.757222222222,0.685,0.125548427
70,0.101039971956,0.104472092857,0.757222222222,0.685,0.147217008
80,0.101065543688,0.104475632638,0.757222222222,0.685,0.168994551
90,0.126741480877,0.13071964045,0.757222222222,0.685,0.191832369
100,0.126742564024,0.130747543252,0.757222222222,0.685,0.213774724
110,0.131915379905,0.135148227775,0.152222222222,0.15,0.236139752
120,0.131843373425,0.135270864257,0.152222222222,0.15,0.258485885
130,0.131846498244,0.135272533762,0.152222222222,0.15,0.281558299
140,0.131833172547,0.135295675206,0.152777777778,0.15,0.304005402
150,0.131140793901,0.130142087757,0.172777777778,0.285,0.326403056
160,0.131140793901,0.130142087757,0.172777777778,0.285,0.349112799
170,0.106909204607,0.107993110414,0.757222222222,0.685,0.37200664
180,0.106900804286,0.107943138917,0.757222222222,0.685,0.394937518
190,0.102908822647,0.101452156242,0.757222222222,0.685,0.417153672
200,0.103423612335,0.108781294312,0.757222222222,0.685,0.439762388
210,0.104743340842,0.110840006553,0.757222222222,0.685,0.462392883
220,0.121870445469,0.118667654331,0.759444444444,0.695,0.485356262
230,0.121538955388,0.118357114353,0.759444444444,0.695,0.508479839
240,0.104585003004,0.10815918421,0.757222222222,0.685,0.531807969
250,0.10464629557,0.10815920104,0.757222222222,0.685,0.555267483
260,0.112360630774,0.108541307518,0.757222222222,0.685,0.578604848
270,0.11164178236,0.108541281119,0.757222222222,0.685,0.599265139
280,0.111586149907,0.108541281099,0.757222222222,0.685,0.620650279
290,0.104505998246,0.107785731367,0.757222222222,0.685,0.64349425
300,0.101898920798,0.107785727598,0.757222222222,0.685,0.668778899
310,0.101898920798,0.107785729129,0.757222222222,0.685,0.691922326
320,0.106660614637,0.109043997343,0.757222222222,0.685,0.713932214
330,0.0924550876672,0.109795795893,0.757222222222,0.685,0.736771367
