iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.106393155256,0.109570160674,0.758888888889,0.685,0.00142268100001
10,0.117111712387,0.113716575923,0.578333333333,0.625,0.0155004349999
20,0.112750628369,0.114025588017,0.734444444444,0.73,0.0304033819999
30,0.112082407671,0.115810158595,0.787777777778,0.725,0.045716188
40,0.111105882528,0.115414935953,0.788333333333,0.725,0.0613538420002
50,0.115505840916,0.118036996633,0.789444444444,0.725,0.0772029390002
60,0.103728802673,0.110639078173,0.757222222222,0.685,0.0921639390002
70,0.0926093223414,0.107621137349,0.757222222222,0.685,0.107435708
80,0.0951674266981,0.105984363659,0.757222222222,0.685,0.125331674001
90,0.107472324886,0.114305562398,0.757222222222,0.685,0.143797752001
100,0.107359490831,0.114245519901,0.757222222222,0.685,0.163224934001
110,0.107451304029,0.114257696496,0.757222222222,0.685,0.181468142001
120,0.104647529549,0.116882887055,0.65,0.445,0.198531638
130,0.104756150186,0.116861708726,0.65,0.445,0.215589869
140,0.106127953053,0.119408220795,0.667777777778,0.45,0.233398532001
150,0.105059996192,0.118279827159,0.687777777778,0.485,0.253160448
160,0.129657946913,0.127662827957,0.242222222222,0.32,0.272852261
170,0.129604034646,0.127670325331,0.243333333333,0.32,0.29279542
180,0.129915721278,0.127835042297,0.236111111111,0.315,0.312029943001
190,0.130246593975,0.127128363752,0.243333333333,0.32,0.332402377001
200,0.117984190581,0.118887441479,0.663888888889,0.655,0.352527702001
210,0.117972204938,0.118666151401,0.665555555556,0.66,0.372843841001
220,0.117968827354,0.118688419699,0.665555555556,0.66,0.393261195001
230,0.117945756285,0.11860439898,0.666111111111,0.665,0.413626717
240,0.117952034465,0.118579615518,0.666666666667,0.665,0.434491471
250,0.117981780036,0.118839566369,0.665,0.655,0.455248608
260,0.117951560046,0.118639408579,0.667222222222,0.66,0.476170453
270,0.118425257973,0.118901360284,0.669444444444,0.665,0.49718459
280,0.129949200962,0.1277616616,0.327222222222,0.39,0.518359497
290,0.143251773325,0.136604887116,0.468333333333,0.5,0.539245283
300,0.156423872032,0.145355016112,0.317222222222,0.405,0.559142999
310,0.156434426678,0.145481625415,0.317777777778,0.405,0.579182271
320,0.14463285569,0.137887991921,0.295,0.365,0.599589131
330,0.144630502055,0.137887242102,0.295,0.365,0.620020904
340,0.144506229698,0.137903096663,0.295,0.365,0.641466331
350,0.112981766346,0.113225770828,0.683888888889,0.665,0.662858638
360,0.105020177819,0.104991915192,0.764444444444,0.75,0.683779667
370,0.105026424692,0.104991913239,0.764444444444,0.75,0.705338009
380,0.102107956659,0.105632699518,0.792777777778,0.735,0.726974699
390,0.102104607751,0.105608867088,0.792777777778,0.735,0.748516582
400,0.0995559807976,0.106399669323,0.792222222222,0.735,0.77182923
410,0.0994813947508,0.106423039371,0.792222222222,0.735,0.794579761
420,0.106412577605,0.110944423514,0.793333333333,0.735,0.817479266
430,0.106615577095,0.110876439587,0.792777777778,0.735,0.839614565
440,0.106854861487,0.110835382175,0.792777777778,0.735,0.861987725
450,0.10872048047,0.110228310671,0.765555555556,0.75,0.883329204
460,0.111514892027,0.113317782056,0.723888888889,0.7,0.904203096
470,0.111521671369,0.113314322775,0.723888888889,0.705,0.925438652
480,0.107562617141,0.111847251472,0.670555555556,0.64,0.946803096
490,0.107169505069,0.111230720661,0.677777777778,0.655,0.967852703
500,0.107385814324,0.111652656584,0.671111111111,0.645,0.990170524
510,0.10737378388,0.111652661682,0.671111111111,0.645,1.012098566
520,0.107775701756,0.111863899504,0.671666666667,0.645,1.037827631
530,0.108501185838,0.111865220036,0.671666666667,0.645,1.067876702
540,0.108647021629,0.112146995776,0.671666666667,0.645,1.098599913
550,0.103390927185,0.108996556973,0.768333333333,0.72,1.123449352
560,0.103400545843,0.108997141761,0.768333333333,0.72,1.149197378
570,0.102949776182,0.108997141604,0.767777777778,0.72,1.174344695
580,0.0980488660394,0.106670629613,0.768333333333,0.72,1.196944173
590,0.0979894465142,0.106365796793,0.768333333333,0.72,1.220346578
600,0.098065770091,0.106362949229,0.768333333333,0.72,1.243561833
610,0.0977319797712,0.104832081514,0.767777777778,0.73,1.267563356
620,0.0977449649017,0.104831637266,0.767222222222,0.73,1.290742256
630,0.0972437611329,0.104550234818,0.768333333333,0.73,1.316116277
640,0.0971192751377,0.104550234818,0.768333333333,0.73,1.341099609
650,0.0970494580714,0.104550234818,0.768333333333,0.73,1.364915101
660,0.0970509365626,0.104550253024,0.768333333333,0.73,1.387654277
670,0.0970197359511,0.104849122768,0.785555555556,0.74,1.411188786
680,0.0970796637318,0.104849122768,0.785555555556,0.74,1.434720346
690,0.0969299303933,0.104849122768,0.785555555556,0.74,1.458084503
700,0.0969298032091,0.104849122768,0.786111111111,0.74,1.481457323
710,0.0968864679847,0.104849122768,0.786666666667,0.74,1.504447558
720,0.0968864266103,0.104849122768,0.786666666667,0.74,1.527513428
730,0.0968864247089,0.104849122768,0.786666666667,0.74,1.550329941
740,0.0967274832697,0.104426088373,0.786666666667,0.74,1.573225487
750,0.0967132441363,0.104426087602,0.786666666667,0.74,1.597914923
760,0.0967114925198,0.104426087602,0.786666666667,0.74,1.621083894
770,0.0966235537949,0.104285073736,0.786666666667,0.74,1.643605307
780,0.0963979984137,0.104285073736,0.786666666667,0.74,1.66646355
790,0.0962238381098,0.103439000187,0.786666666667,0.74,1.688090983
800,0.0962237749658,0.103439000187,0.786666666667,0.74,1.710104636
810,0.0962234174742,0.103439000187,0.786666666667,0.74,1.732337866
820,0.0962173339045,0.103439000187,0.786666666667,0.74,1.754236004
830,0.0903075002864,0.100245404822,0.792222222222,0.745,1.775774545
840,0.090305738584,0.100245404822,0.792222222222,0.745,1.799431148
850,0.0830151498334,0.097758140857,0.782777777778,0.745,1.820891092
860,0.0827727261572,0.0977554929967,0.782777777778,0.745,1.842523174
870,0.0826334913819,0.097277747081,0.784444444444,0.75,1.864207375
880,0.0826334913819,0.097277747081,0.784444444444,0.75,1.885673615
890,0.0825683094163,0.0972777465259,0.785,0.75,1.907682854
900,0.0824913759163,0.0972777465259,0.785,0.75,1.929343201
910,0.075414087971,0.086665384357,0.837777777778,0.795,1.950985808
920,0.0769658258073,0.0887917703674,0.83,0.78,1.971746074
930,0.0752955542922,0.0862860525423,0.838333333333,0.795,1.993573109
940,0.0746087782754,0.0863392006863,0.842222222222,0.795,2.014475168
950,0.0743380496624,0.0862759479831,0.842222222222,0.795,2.035834856
960,0.0735206730947,0.085079160113,0.847222222222,0.8,2.056956466
970,0.0734652799763,0.085263916403,0.847777777778,0.8,2.077292275
980,0.073463628536,0.085263916403,0.847777777778,0.8,2.097887933
990,0.0734067136557,0.0846198969248,0.848333333333,0.815,2.118949853
1000,0.0721040840522,0.0833726262965,0.839444444444,0.81,2.13895471
1010,0.0738204200002,0.0830793815289,0.843888888889,0.81,2.15910185
1020,0.0720669479502,0.0833726263525,0.841111111111,0.81,2.179713802
1030,0.0718379590297,0.0833872845164,0.84,0.81,2.199871475
1040,0.0718305170326,0.0833726263525,0.84,0.81,2.221271565
1050,0.0718262686927,0.083362236244,0.84,0.81,2.2440303
1060,0.0718250912205,0.083362236244,0.84,0.81,2.264208777
1070,0.0715960138994,0.0833630245199,0.855,0.81,2.285275497
1080,0.0714025548451,0.0833506835554,0.854444444444,0.81,2.305759393
1090,0.0714025548451,0.0833506835554,0.854444444444,0.81,2.327700142
1100,0.0722485514349,0.0834276452796,0.866111111111,0.81,2.348817609
1110,0.0713667634103,0.0844735529525,0.851666666667,0.785,2.370836842
1120,0.0696690724715,0.0838722960284,0.854444444444,0.78,2.391531567
