iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.175653864371,0.155311270493,0.242777777778,0.315,0.00165291399998
10,0.17385680863,0.156646569082,0.242777777778,0.315,0.018273649
20,0.174388759859,0.157154510055,0.242777777778,0.315,0.0356565459999
30,0.191425734411,0.172305091029,0.242777777778,0.315,0.0528218879999
40,0.166863652727,0.1520546544,0.242777777778,0.315,0.0702103889999
50,0.159880725113,0.146121228092,0.243888888889,0.32,0.087252082
60,0.173668073816,0.153615471451,0.242777777778,0.32,0.104282786
70,0.173521909026,0.155882101319,0.237777777778,0.29,0.12140598
80,0.217419657545,0.183837533481,0.232222222222,0.3,0.140841088
90,0.217106980793,0.182230322518,0.232777777778,0.31,0.159651262
100,0.254255571183,0.214910177989,0.242777777778,0.315,0.178283901
110,0.275153318053,0.226273401994,0.242777777778,0.315,0.196943444
120,0.263840126196,0.217500614042,0.242777777778,0.315,0.215371076
130,0.216404890829,0.186387898063,0.242777777778,0.315,0.233670507
140,0.216668421624,0.187923856376,0.242777777778,0.315,0.252400017
150,0.207182803861,0.178964260226,0.242777777778,0.315,0.272467141
160,0.207201657827,0.178966018452,0.242777777778,0.315,0.291890152
170,0.285758431624,0.262944582772,0.242777777778,0.315,0.311544019
180,0.263986006582,0.242757660794,0.242777777778,0.315,0.331663982
190,0.261992385213,0.238250762282,0.242777777778,0.315,0.352994061
200,0.263021796549,0.239732008649,0.242777777778,0.315,0.374899417
210,0.27523204981,0.256463138797,0.242777777778,0.315,0.396135874
220,0.297191953271,0.273473997718,0.242777777778,0.315,0.416621821
230,0.257347516196,0.181587536207,0.242777777778,0.315,0.437389995
240,0.237729634599,0.17905660748,0.242777777778,0.315,0.459265748
250,0.222145629118,0.170727070378,0.242777777778,0.315,0.480132549
260,0.262961257656,0.20039314031,0.242777777778,0.315,0.501676088
270,0.226336759529,0.184231547297,0.242777777778,0.315,0.523804688
280,0.226309536144,0.184201690587,0.242777777778,0.315,0.546017926
290,0.22623345853,0.183582292262,0.242777777778,0.315,0.568176515
300,0.226231467559,0.18358229775,0.242777777778,0.315,0.590077014
310,0.223685437108,0.181258222557,0.242777777778,0.315,0.613087923
320,0.219391893742,0.178590189353,0.242777777778,0.315,0.635245901
330,0.219391131256,0.178590054724,0.242777777778,0.315,0.657607864
340,0.219321659266,0.178352533735,0.242777777778,0.315,0.680159555
350,0.219293145109,0.178291617012,0.242777777778,0.315,0.701929641
360,0.217925063505,0.176966370907,0.242777777778,0.315,0.723970737
370,0.21791232286,0.176930259562,0.242777777778,0.315,0.746269045
380,0.217096636903,0.175824421098,0.242777777778,0.315,0.768739998
390,0.216870323791,0.175775826613,0.242777777778,0.315,0.791846627
400,0.216823430404,0.175775630629,0.242777777778,0.315,0.814712073
410,0.214375998406,0.174856035099,0.242777777778,0.315,0.838182576
420,0.199216774974,0.160593578743,0.242777777778,0.315,0.862037383
430,0.199118724941,0.160593578469,0.242777777778,0.315,0.884911256
440,0.198786534357,0.159228959879,0.242777777778,0.315,0.907914087
450,0.194944967152,0.156388695127,0.242777777778,0.315,0.931738372
460,0.194921639109,0.156300224863,0.242777777778,0.315,0.954931019
470,0.194964917348,0.156300228324,0.242777777778,0.315,0.97836678
480,0.194920324521,0.156300230549,0.242777777778,0.315,1.001965932
490,0.194842111256,0.15631431929,0.242777777778,0.315,1.024683851
500,0.194632235414,0.156314522438,0.242777777778,0.315,1.047544609
510,0.194632235414,0.156314522438,0.242777777778,0.315,1.070114869
520,0.194624292177,0.156312200129,0.242777777778,0.315,1.093927226
530,0.194460561909,0.156242077994,0.242777777778,0.315,1.117688983
540,0.1944598948,0.156242112364,0.242777777778,0.315,1.140249843
550,0.194457113319,0.156314141239,0.242777777778,0.315,1.163183233
