iterations,fitness,time
0,3388.42838115,0.02524405
10,3522.85148996,0.047278268
20,3619.61488009,0.067848862
30,3622.84687059,0.087440628
40,3639.71864826,0.107244529
50,3634.31494874,0.126724181
60,3606.31840303,0.146253251
70,3649.74522066,0.157635769
80,3610.17568874,0.170262166
90,3634.31494874,0.183346655
100,3623.1952242,0.195010789
110,3680.29258072,0.206732443
120,3623.1952242,0.218974459
130,3602.25193387,0.23170409
140,3602.25193387,0.243783309
150,3645.27577582,0.256092279
160,3605.94079296,0.268895762
170,3631.45109362,0.280564284
180,3634.31494874,0.291996678
190,3605.94079296,0.303687322
200,3602.25193387,0.315430299
210,3631.45109362,0.32691999
220,3634.31494874,0.339917972
230,3632.41172419,0.351599498
240,3631.45109362,0.363285852
250,3640.66710833,0.375103907
260,3600.19788684,0.387269377
270,3631.45109362,0.398703693
280,3634.31494874,0.410150021
290,3615.0080753,0.421910736
300,3631.45109362,0.434343425
310,3619.62392633,0.446060746
320,3623.1952242,0.457328829
330,3634.31494874,0.469084703
340,3631.45109362,0.481164188
350,3625.89396606,0.492841035
360,3593.61408385,0.504964332
370,3625.89396606,0.516673419
380,3601.40920294,0.529388643
390,3612.54812192,0.541949614
400,3634.31494874,0.554551047
410,3625.89396606,0.566935202
420,3631.45109362,0.581857934
430,3623.1952242,0.597184108
440,3619.61488009,0.61211997
450,3619.61488009,0.627013374
460,3605.94079296,0.643094419
470,3610.63732804,0.657828326
480,3634.31494874,0.672101333
490,3625.89396606,0.687105659
500,3640.08894364,0.702072914
510,3639.8354837,0.715767531
520,3637.0199064,0.728254731
530,3631.45109362,0.741066355
540,3625.89396606,0.752877139
550,3657.45188986,0.766177727
560,3687.03303021,0.777991083
570,3623.1952242,0.789833685
580,3634.31494874,0.801552401
590,3623.1952242,0.812948991
600,3600.47204308,0.82507436
610,3625.89396606,0.836952971
620,3607.43876605,0.84860018
630,3639.71864826,0.86009993
640,3623.1952242,0.871757822
650,3600.19788684,0.884142226
660,3631.45109362,0.896740831
670,3625.89396606,0.909660383
680,3634.31494874,0.92136708
690,3636.93503599,0.934925236
700,3631.45109362,0.948850162
710,3595.94576297,0.962883826
720,3597.93300886,0.979405885
730,3593.61408385,0.996558391
740,3642.95279877,1.013742651
750,3607.43876605,1.029698904
760,3628.09279917,1.048324124
770,3604.65515378,1.067219245
780,3634.31494874,1.088134635
790,3598.01175008,1.110197825
800,3602.52956596,1.127978326
810,3636.93503599,1.14379857
820,3608.97407879,1.157716154
830,3593.61408385,1.169952859
840,3619.61488009,1.182239648
850,3610.17568874,1.193641321
860,3595.92767049,1.206396496
870,3633.99881307,1.219187192
880,3667.61603696,1.231827014
890,3633.4395623,1.246512435
900,3631.45109362,1.26095956
910,3602.25193387,1.275226366
920,3625.89396606,1.289432872
930,3595.80868485,1.304517386
940,3634.31494874,1.318947547
950,3634.31494874,1.333720025
960,3626.84242613,1.34674611
970,3623.1952242,1.359092857
980,3634.31494874,1.371644267
990,3625.89396606,1.38335827
1000,3599.96624344,1.395517448
1010,3660.31574498,1.407396047
1020,3623.1952242,1.419013053
1030,3631.45109362,1.43082433
1040,3625.89396606,1.442787666
1050,3634.31494874,1.453779267
1060,3606.61448197,1.465793592
1070,3623.1952242,1.478262492
1080,3626.20772932,1.490013684
1090,3672.15195851,1.501352829
1100,3602.25193387,1.513830084
1110,3631.45109362,1.526354794
1120,3595.80868485,1.538877613
1130,3642.45557095,1.551621953
1140,3625.89396606,1.564008386
1150,3623.1952242,1.576555232
1160,3634.31494874,1.5906124
1170,3634.31494874,1.606614552
1180,3600.19788684,1.621578236
1190,3623.1952242,1.636381826
1200,3631.45109362,1.650350056
1210,3634.31494874,1.665594741
1220,3631.45109362,1.681390325
1230,3610.17568874,1.699146274
1240,3627.05342739,1.713867498
1250,3631.45109362,1.728110538
1260,3634.31494874,1.742487535
1270,3606.31840303,1.757989184
1280,3631.45109362,1.769996755
1290,3607.43876605,1.782386726
1300,3610.17568874,1.794817466
1310,3595.81291696,1.806506049
1320,3593.61408385,1.818293537
1330,3634.31494874,1.830146483
1340,3623.1952242,1.842015381
1350,3634.31494874,1.859215254
1360,3625.89396606,1.870750705
1370,3606.31840303,1.882488819
1380,3610.17568874,1.894347857
1390,3642.12926227,1.905663127
1400,3619.61488009,1.917466365
1410,3625.89396606,1.929271742
1420,3631.45109362,1.940997739
1430,3638.03489661,1.95239981
1440,3604.65515378,1.96395519
1450,3631.45109362,1.976209549
1460,3610.17568874,1.987784261
1470,3625.89396606,2.000877426
1480,3619.61488009,2.013249135
1490,3634.31494874,2.026719807
1500,3623.1952242,2.04142002
1510,3601.33345193,2.055179305
1520,3607.43876605,2.07028391
1530,3606.31840303,2.085017802
1540,3631.45109362,2.099213831
1550,3634.31494874,2.113913802
1560,3631.45109362,2.128253471
1570,3632.47776905,2.142662507
1580,3634.31494874,2.157704123
1590,3634.31494874,2.172275089
1600,3638.22067517,2.18682049
1610,3631.45109362,2.201053399
1620,3672.13386603,2.21407702
1630,3610.17568874,2.22624302
1640,3651.8947623,2.237712966
1650,3619.61488009,2.251617994
1660,3631.45109362,2.26614885
1670,3631.45109362,2.280377676
1680,3614.02256904,2.295034016
1690,3619.61488009,2.309926726
1700,3606.31840303,2.327055058
1710,3610.17568874,2.339505033
1720,3634.31494874,2.354668339
1730,3598.27744209,2.368055456
1740,3600.19788684,2.386392767
1750,3611.83643228,2.399165684
1760,3625.89396606,2.411393244
1770,3623.1952242,2.423261885
1780,3631.45109362,2.435466581
1790,3655.47510641,2.44705557
1800,3623.1952242,2.458840386
1810,3625.89396606,2.471350841
1820,3599.13461881,2.486651356
1830,3599.96624344,2.500236608
1840,3606.92840939,2.514756089
1850,3635.84875985,2.529510049
1860,3647.31534686,2.544866281
1870,3606.62352821,2.559240836
1880,3644.1554128,2.5735226
1890,3625.89396606,2.587972053
1900,3623.1952242,2.602896316
1910,3631.45109362,2.614567081
1920,3634.31494874,2.625773353
1930,3606.63257445,2.637361805
1940,3631.45109362,2.648507609
1950,3598.27744209,2.662598465
1960,3655.43787659,2.674758328
1970,3608.13539396,2.687360314
1980,3637.0199064,2.699159199
1990,3634.31494874,2.710575818
2000,3634.31494874,2.722512232
2010,3619.61488009,2.734581325
2020,3619.61488009,2.746569316
2030,3634.31494874,2.758682434
2040,3607.43876605,2.771243777
2050,3642.49216355,2.782844039
2060,3646.64165785,2.794905707
2070,3623.1952242,2.806524466
2080,3607.60164698,2.818231242
2090,3640.66710833,2.829980736
2100,3638.65196623,2.841816371
2110,3625.89396606,2.853594479
2120,3595.81291696,2.865601966
2130,3631.45109362,2.877738809
2140,3674.48363763,2.889771807
2150,3606.61448197,2.901708756
2160,3631.45109362,2.91339827
2170,3631.45109362,2.925036623
2180,3619.61488009,2.939023946
2190,3606.61448197,2.951379723
2200,3623.1952242,2.964333158
2210,3631.45109362,2.9765827
2220,3597.93300886,2.988669702
2230,3623.1952242,3.000005462
