iterations,fitness,time
0,2547.15588046,0.000265706999997
10,2745.48746275,0.000484731999997
20,2822.28236451,0.000735486000004
30,2967.26562175,0.000954644000004
40,3009.98529645,0.001206115
50,3193.64147406,0.001435372
60,3317.41563224,0.00165303000001
70,3138.75998705,0.001905046
80,3197.59595049,0.00212411300001
90,3215.58344888,0.00236844700001
100,3232.0232162,0.00260870400001
110,3209.74715059,0.00284843500001
120,3182.55435379,0.00309821700001
130,3230.45442697,0.00335955000001
140,3278.68668014,0.00359192700001
150,3316.75494328,0.00386793000001
160,3240.01041408,0.00411697700001
170,3267.32737108,0.00441264400001
180,3274.32240844,0.00470616600001
190,3262.67926257,0.00502307200001
200,3338.58124524,0.00525870800001
210,3292.28006036,0.005550827
220,3367.04703492,0.005853377
230,3328.56594252,0.006154846
240,3203.64945907,0.006404292
250,3163.76908251,0.006631086
260,3233.8969198,0.00687258
270,3237.4749705,0.007185862
280,3194.59347977,0.007481536
290,3409.97229007,0.007714937
300,3242.495212,0.007943671
310,3328.82582203,0.008215415
320,3266.42497425,0.00844564199999
330,3309.28060636,0.00871251599999
340,3274.36817825,0.00894058099999
350,3389.03549611,0.00921241599999
360,3344.7592895,0.00947565999999
370,3222.68174906,0.00977135799999
380,3296.17913076,0.010072345
390,3168.88239561,0.010298015
400,3173.71192047,0.010526237
410,3148.20757284,0.010750796
420,3211.90899663,0.010979639
430,3149.42430024,0.011208376
440,3249.25094124,0.011442164
450,3297.09846011,0.011675558
460,3130.63359275,0.011905906
470,3139.48982781,0.012132811
480,3139.43679037,0.01235553
490,3295.36831492,0.012581406
500,3215.27463617,0.012851011
510,3394.88759679,0.013074475
520,3408.40782031,0.013299812
530,3332.11016651,0.013524196
540,3229.51064541,0.013747105
550,3198.83448471,0.013971107
560,3212.24134742,0.014192487
570,3318.34473033,0.014464567
580,3254.9273753,0.014695282
590,3277.39106024,0.014933264
600,3245.76028018,0.01515591
610,3201.24684539,0.015382995
620,3215.37584076,0.01560886
630,3230.78941691,0.015833124
640,3088.53075074,0.016055977
650,3201.03325306,0.01628296
660,3314.20108688,0.016508119
670,3231.99756856,0.016730699
680,3241.61585625,0.016961977
690,3241.8584028,0.017191737
700,3319.78062325,0.017424465
710,3274.34320831,0.017646144
720,3266.34087826,0.017870189
730,3284.98750018,0.018097739
740,3257.33813577,0.018319279
750,3191.00740636,0.018539536
760,3383.90023873,0.018762155
770,3320.27778503,0.01898792
780,3266.88081628,0.019211498
790,3262.22195472,0.019439138
800,3312.47143913,0.019662742
810,3207.06422541,0.019886878
820,3190.79701844,0.020173171
830,3179.58501618,0.020401895
840,3123.24734523,0.020643724
850,3157.42992728,0.020880925
860,3101.23876342,0.021100433
870,3232.42929512,0.021317687
880,3249.57471254,0.021554127
890,3238.0077884,0.021781332
900,3238.04172856,0.022005382
910,3302.91555034,0.022230491
920,3475.3054692,0.022454512
930,3333.71168927,0.022677519
940,3381.52017714,0.022898369
950,3422.49558328,0.02311994
960,3338.75670507,0.023345719
970,3301.05035424,0.023571374
980,3329.23379503,0.023796852
990,3388.41105553,0.02402389
1000,3432.39993585,0.024268755
1010,3323.99073503,0.024500036
1020,3293.14465384,0.024732525
1030,3365.81949125,0.024968629
1040,3326.68431849,0.02519156
1050,3327.5634654,0.025415297
1060,3247.97868577,0.025645688
1070,3307.385412,0.025875921
1080,3204.79411286,0.026106304
1090,3188.7734663,0.026323039
1100,3074.12480148,0.026540917
1110,3173.71443075,0.026757211
1120,3312.52198312,0.026994773
1130,3273.87047741,0.027220318
1140,3288.49230204,0.027443794
1150,3317.00280232,0.027692764
1160,3226.46099503,0.027917106
1170,3308.04044315,0.028154173
1180,3220.2119563,0.028371252
1190,3228.89455582,0.028591376
1200,3337.61385492,0.028809019
1210,3337.61385492,0.029025384
1220,3215.22834233,0.029246634
1230,3328.63257518,0.029463905
1240,3325.83136535,0.029679936
1250,3281.38523337,0.029894946
1260,3208.59663147,0.030110489
1270,3332.6551309,0.030324191
1280,3166.90058894,0.030540225
1290,3241.37447423,0.030760254
1300,3298.56672615,0.030975694
1310,3142.18263657,0.031200304
1320,3131.99998132,0.03142815
1330,3185.96152708,0.031648316
1340,3218.99383721,0.031904103
1350,3212.39733786,0.032150707
1360,3263.8881366,0.032378533
1370,3220.88881403,0.032624843
1380,3136.4031989,0.032868301
1390,3188.02456873,0.033108759
1400,3190.35624785,0.033330112
1410,3222.83143043,0.033572601
1420,3204.10692929,0.033792023
1430,3215.1812292,0.034009291
1440,3223.97656166,0.034234756
1450,3336.35205235,0.034454826
1460,3245.79453186,0.034673767
1470,3242.54106394,0.034894136
1480,3214.46791238,0.035144211
1490,3250.43114139,0.03540189
1500,3307.08251988,0.035669355
1510,3359.62080273,0.035927613
1520,3282.10507842,0.036277633
1530,3347.19102112,0.036526838
1540,3381.06943297,0.036799079
1550,3358.14472323,0.037016033
1560,3355.52639435,0.037234846
1570,3339.87658339,0.037459778
1580,3365.51440459,0.037684375
1590,3359.40723736,0.037906944
1600,3337.10670241,0.038121461
1610,3333.36987172,0.038346514
1620,3232.69139774,0.038566713
1630,3178.95910378,0.038783908
1640,3207.37758134,0.039062042
1650,3180.76546909,0.039342344
1660,3246.77499345,0.039626324
1670,3280.54012151,0.039900403
1680,3325.33900463,0.040181082
1690,3343.1978832,0.040484498
1700,3336.01024396,0.040789173
1710,3353.7030772,0.041082075
1720,3315.34323534,0.041445465
1730,3294.14038338,0.041726718
1740,3329.10457731,0.041994723
1750,3362.18315821,0.042216668
1760,3435.56014101,0.042440982
1770,3429.94050972,0.042730365
1780,3364.72193075,0.043044629
1790,3325.72073638,0.043348523
1800,3371.53041814,0.043647801
1810,3351.95216713,0.043947855
1820,3328.51319915,0.044247447
1830,3281.83305514,0.044535862
1840,3357.48184284,0.044821988
1850,3355.76774891,0.045106613
1860,3329.51323414,0.045386973
1870,3355.44197599,0.045618333
1880,3391.35712344,0.045872896
1890,3259.17534429,0.046105452
1900,3421.23749108,0.04633707
1910,3451.83293518,0.0465642
1920,3386.36918962,0.046789883
1930,3511.38844103,0.04702256
1940,3384.78263987,0.047246121
1950,3294.80995499,0.047468317
1960,3323.39132721,0.047688926
1970,3361.3163677,0.047911749
1980,3410.23597095,0.048131038
1990,3401.17095331,0.048357654
2000,3338.09525062,0.048583223
2010,3274.83202991,0.048805185
