iterations,fitness,time
2000,3689.99237228,2.484298164
2010,3723.74149792,2.501247486
2020,3689.98332604,2.518185965
2030,3689.98332604,2.53545127
2040,3713.11717431,2.548536634
2050,3689.98332604,2.560312821
2060,3696.56712903,2.571951199
2070,3689.98332604,2.583516671
2080,3689.99237228,2.594816309
2090,3716.44020523,2.606779633
2100,3689.98332604,2.617998322
2110,3701.55025017,2.629259154
2120,3716.44020523,2.640186112
2130,3716.44020523,2.651578175
2140,3692.17792704,2.662834968
2150,3716.44020523,2.674325374
2160,3701.55025017,2.685553257
2170,3716.44020523,2.697151116
2180,3716.44020523,2.709324007
2190,3717.5063763,2.720532483
2200,3713.11717431,2.732321689
2210,3694.37252803,2.743682167
2220,3689.98332604,2.755004989
2230,3689.99237228,2.767787212
2240,3716.44020523,2.779783854
2250,3689.98332604,2.791092251
2260,3689.99237228,2.80233299
2270,3716.44020523,2.81361953
2280,3694.37252803,2.82542706
2290,3689.98332604,2.837010579
2300,3692.17792704,2.848856672
2310,3716.44020523,2.860592561
2320,3694.37252803,2.871829657
2330,3689.98332604,2.883338568
2340,3689.98332604,2.895151445
2350,3689.98332604,2.907796088
2360,3713.11717431,2.919028489
2370,3716.44020523,2.930627479
2380,3689.99237228,2.942284813
2390,3701.55025017,2.954067242
2400,3713.11717431,2.96532922
2410,3713.11717431,2.977758043
2420,3713.11717431,2.989038722
2430,3713.11717431,3.004746195
2440,3695.26150048,3.020888465
2450,3715.3117753,3.037288187
2460,3696.56712903,3.050926
2470,3701.55025017,3.066892316
2480,3689.98332604,3.079343757
2490,3713.11717431,3.092437523
2500,3689.99237228,3.107124156
2510,3694.37252803,3.123173801
2520,3716.44020523,3.136974392
2530,3700.79046519,3.152730118
2540,3689.99237228,3.167990658
2550,3699.48606132,3.183254435
2560,3696.56712903,3.196778673
2570,3701.55025017,3.21082545
2580,3694.37252803,3.22595493
2590,3696.56712903,3.240491378
2600,3696.56712903,3.25428756
2610,3689.98332604,3.268628991
2620,3713.11717431,3.28300745
2630,3689.98332604,3.295391957
2640,3689.98332604,3.308365135
2650,3716.44020523,3.320434724
2660,3689.98332604,3.333592553
2670,3716.44020523,3.34750307
2680,3694.37252803,3.362697316
2690,3707.80235521,3.375364296
2700,3692.17792704,3.387164804
2710,3701.55025017,3.399852304
2720,3696.56712903,3.413469991
2730,3689.98332604,3.426904568
2740,3716.44020523,3.44097725
2750,3694.37252803,3.455833594
2760,3716.44020523,3.470208576
2770,3696.56712903,3.485152184
2780,3692.17792704,3.499273588
2790,3716.44020523,3.513510228
2800,3701.55025017,3.528008846
2810,3713.11717431,3.545134833
2820,3701.55025017,3.55988152
2830,3694.37252803,3.572888973
2840,3689.98332604,3.587815299
2850,3689.99237228,3.601960326
2860,3689.98332604,3.616298669
2870,3689.98332604,3.630964369
2880,3713.11717431,3.64485028
2890,3717.38933833,3.658231265
2900,3696.56712903,3.672023164
2910,3689.98332604,3.685664318
2920,3716.44020523,3.698637329
2930,3713.11717431,3.711713044
2940,3716.44020523,3.724968149
2950,3716.44020523,3.745086061
2960,3689.98332604,3.758417415
2970,3716.44020523,3.771488628
2980,3713.11717431,3.785762657
2990,3694.37252803,3.800000009
3000,3692.17792704,3.812616291
3010,3689.99237228,3.825350573
3020,3716.44020523,3.837914983
3030,3693.37936798,3.850472099
3040,3689.98332604,3.86254651
3050,3696.56712903,3.874188777
3060,3689.98332604,3.887178423
3070,3716.44020523,3.898710344
3080,3713.11717431,3.909904408
3090,3718.63480623,3.923378978
3100,3689.99237228,3.938530849
3110,3696.56712903,3.954041957
3120,3689.98332604,3.96836364
3130,3689.99237228,3.981706965
3140,3713.11717431,3.994150816
3150,3689.99237228,4.00663876
3160,3689.99237228,4.019744326
3170,3689.98332604,4.032275505
3180,3715.3117753,4.046927173
3190,3694.37252803,4.061119515
3200,3689.98332604,4.076137209
3210,3689.98332604,4.089338823
3220,3689.98332604,4.102786506
3230,3715.3117753,4.11715428
3240,3689.98332604,4.130767956
3250,3713.11717431,4.143248703
3260,3689.98332604,4.156945975
3270,3701.55025017,4.170488096
3280,3701.55025017,4.182597067
3290,3736.73287856,4.20008536
3300,3696.56712903,4.216218598
3310,3699.38376577,4.231292403
3320,3689.98332604,4.242867371
3330,3689.98332604,4.257019371
3340,3692.17792704,4.271804768
3350,3716.44020523,4.287986726
3360,3716.44020523,4.303996211
3370,3716.44020523,4.32116411
3380,3689.98332604,4.338100541
3390,3696.56712903,4.355724396
3400,3713.11717431,4.371779523
3410,3696.56712903,4.388228013
3420,3716.44020523,4.403667636
3430,3689.98332604,4.419422488
3440,3689.98332604,4.436175941
3450,3713.11717431,4.452016397
3460,3692.77108811,4.469139145
3470,3716.44020523,4.485232843
3480,3713.11717431,4.499658776
3490,3689.98332604,4.514607814
3500,3713.11717431,4.530449152
3510,3712.48877396,4.547946048
3520,3713.11717431,4.563510127
3530,3716.44020523,4.579527362
3540,3694.37252803,4.592564687
3550,3716.44020523,4.603742401
3560,3689.98332604,4.614812457
3570,3711.33564806,4.626823713
3580,3692.17792704,4.637989624
3590,3689.98332604,4.648919801
3600,3716.44020523,4.660341347
3610,3689.98332604,4.671694594
3620,3689.98332604,4.685210889
3630,3701.55025017,4.697038101
3640,3694.37252803,4.708483987
3650,3694.37252803,4.720745479
3660,3716.44020523,4.732559502
3670,3716.44020523,4.746781531
3680,3694.37252803,4.763104897
3690,3701.55025017,4.777907874
3700,3716.44020523,4.793420336
3710,3696.56712903,4.809326309
3720,3689.98332604,4.825440672
3730,3707.41043033,4.842388065
3740,3689.98332604,4.858485922
3750,3696.54903655,4.873091444
3760,3701.55025017,4.884926899
3770,3701.55025017,4.898023186
3780,3689.98332604,4.909939107
3790,3689.98332604,4.921585941
3800,3689.98332604,4.933197162
3810,3696.56712903,4.944494804
