iterations,fitness,time
0,3494.71701894,0.017240553
10,3660.93505586,0.034513567
20,3693.0141885,0.049376125
30,3711.95241316,0.061929796
40,3681.82876773,0.074553561
50,3687.8751569,0.087246617
60,3694.43451425,0.100548883
70,3706.8219227,0.113291922
80,3676.30823277,0.125983682
90,3678.50706588,0.138034737
100,3703.07236427,0.150611543
110,3687.8751569,0.163950233
120,3718.26957165,0.179805493
130,3711.95241316,0.193910392
140,3706.8219227,0.207276196
150,3687.8751569,0.21953844
160,3706.8219227,0.231627305
170,3685.74190615,0.244208017
180,3711.95241316,0.258274111
190,3680.62715778,0.271212939
200,3691.50544014,0.284753806
210,3706.8219227,0.302777793
220,3676.30823277,0.316890008
230,3687.8751569,0.329457036
240,3711.95241316,0.341481275
250,3676.30823277,0.355542099
260,3687.8751569,0.368200121
270,3706.70264752,0.381422805
280,3706.70264752,0.394380342
290,3706.70264752,0.406437764
300,3676.30823277,0.420187501
310,3706.8219227,0.432941876
320,3676.30823277,0.448032748
330,3711.95241316,0.461305095
340,3706.70264752,0.475323834
350,3706.8219227,0.487177607
360,3706.8219227,0.498204664
370,3711.95241316,0.509602691
380,3680.62715778,0.521628821
390,3691.50544014,0.53247577
400,3676.30823277,0.54372984
410,3676.30823277,0.55545227
420,3711.95241316,0.567518892
430,3681.82876773,0.579713459
440,3706.70264752,0.591184405
450,3706.8219227,0.603870225
460,3711.95241316,0.616430951
470,3689.28234945,0.628351619
480,3711.95241316,0.639970987
490,3680.62715778,0.651570975
500,3676.30823277,0.663726341
510,3706.70264752,0.675616378
520,3680.84740789,0.686676164
530,3687.8751569,0.697948038
540,3706.70264752,0.709976931
550,3676.30823277,0.722452704
560,3711.95241316,0.733866126
570,3700.35048792,0.745546484
580,3706.8219227,0.757246549
590,3676.30823277,0.768968855
600,3711.95241316,0.784707223
610,3689.16307427,0.797524183
620,3706.8219227,0.80924926
630,3687.8751569,0.82156504
640,3706.70264752,0.833831009
650,3680.62715778,0.847077419
660,3691.50544014,0.859640437
670,3706.70264752,0.871850981
680,3682.35462194,0.88621614
690,3706.70264752,0.898111731
700,3691.50544014,0.911131134
710,3687.8751569,0.923319684
720,3676.30823277,0.935809574
730,3711.95241316,0.948440893
740,3681.82876773,0.962031327
750,3677.91812628,0.975055836
760,3711.95241316,0.990491012
770,3680.62715778,1.003319597
780,3691.50544014,1.016480052
790,3676.30823277,1.028899403
800,3691.50544014,1.042829296
810,3706.70264752,1.058942015
820,3691.50544014,1.077735578
830,3706.8219227,1.110457885
840,3691.50544014,1.132120453
850,3687.8751569,1.15129645
860,3706.70264752,1.170128409
870,3680.62715778,1.189565557
880,3687.8751569,1.20822628
890,3681.82876773,1.226200608
900,3706.8219227,1.240532364
910,3706.70264752,1.253557409
920,3695.82436515,1.266220344
930,3687.8751569,1.277811571
940,3676.30823277,1.290983565
950,3706.70264752,1.302144304
960,3681.82876773,1.313492081
970,3676.30823277,1.325321883
980,3676.30823277,1.339463639
990,3676.30823277,1.356921015
1000,3676.30823277,1.374950908
1010,3706.8219227,1.393804661
1020,3711.95241316,1.413377007
1030,3711.95241316,1.435963966
1040,3711.95241316,1.456351658
1050,3676.30823277,1.478324761
1060,3711.95241316,1.498329382
1070,3687.8751569,1.517277118
1080,3684.30304875,1.536826407
1090,3711.95241316,1.556180655
1100,3676.30823277,1.579819347
1110,3676.30823277,1.598600825
1120,3706.8219227,1.619304712
1130,3676.30823277,1.636600509
1140,3706.8219227,1.655039713
1150,3706.70264752,1.672849997
1160,3681.82876773,1.686672378
1170,3684.42927381,1.70238169
1180,3676.30823277,1.717645442
1190,3706.70264752,1.732834013
1200,3676.31727901,1.751788913
1210,3680.62715778,1.770664798
1220,3691.50544014,1.790578128
1230,3676.30823277,1.810478782
1240,3706.8219227,1.827383515
1250,3706.8219227,1.842528351
1260,3687.8751569,1.85634344
1270,3702.50299769,1.868670241
1280,3681.82876773,1.880653024
