iterations,fitness,time
0,2608.19874285,0.000103866000003
10,2661.10775771,0.000150273000003
20,2770.99691305,0.000195650999999
30,2816.17689756,0.000237103000003
40,2891.85091709,0.000270165000003
50,3092.08649787,0.000305961999999
60,3169.02195592,0.000328840999998
70,3201.50274595,0.000379102000004
80,3263.83503654,0.000421586999998
90,3263.83503654,0.000456403999998
100,3263.83503654,0.000500504999998
110,3268.15396156,0.000537778999998
120,3268.15396156,0.000584048999997
130,3283.35116893,0.000599048999995
140,3283.35116893,0.000613743999992
150,3283.35116893,0.000627632999993
160,3283.35116893,0.00064408299999
170,3283.35116893,0.00065876899999
180,3283.35116893,0.000673070999994
190,3283.35116893,0.000686978999994
200,3283.35116893,0.000700780999999
210,3283.35116893,0.000719088000004
220,3283.35116893,0.000743244000006
230,3283.35116893,0.000761555000011
240,3283.35116893,0.000779350000016
250,3322.94244144,0.000819306000011
260,3322.94244144,0.000838847000011
270,3322.94244144,0.000856458000015
280,3322.94244144,0.000888770000017
290,3322.94244144,0.000925688000017
300,3322.94244144,0.00093990000002
310,3322.94244144,0.000959737000024
320,3322.94244144,0.000974972000023
330,3322.94244144,0.000996454000024
340,3322.94244144,0.00101602300002
350,3322.94244144,0.00104430700002
360,3322.94244144,0.00105612900002
370,3322.94244144,0.00107192600002
380,3322.94244144,0.00111819700002
390,3322.94244144,0.00113469000002
400,3322.94244144,0.00115082300002
410,3322.94244144,0.00119970200002
420,3322.94244144,0.00121386100002
430,3322.94244144,0.00123194800003
440,3322.94244144,0.00126508300002
450,3322.94244144,0.00128128800002
460,3322.94244144,0.00129352200003
470,3322.94244144,0.00130708100002
480,3322.94244144,0.00133673100002
490,3322.94244144,0.00134686500002
500,3322.94244144,0.00135406600002
510,3322.94244144,0.00136987000002
520,3322.94244144,0.00137725900002
530,3322.94244144,0.00140037500001
540,3322.94244144,0.00141147500001
550,3322.94244144,0.00142237700001
560,3322.94244144,0.00143230500002
570,3322.94244144,0.00144240200002
580,3322.94244144,0.00145257900002
590,3322.94244144,0.00146297000001
600,3322.94244144,0.00147354100001
610,3322.94244144,0.00149682500001
620,3322.94244144,0.00150896300001
630,3322.94244144,0.00152033500001
640,3322.94244144,0.00153126800001
650,3322.94244144,0.00154254600001
660,3322.94244144,0.00155356700001
670,3322.94244144,0.00156503400001
680,3322.94244144,0.00157615800001
690,3322.94244144,0.00158795000001
700,3322.94244144,0.001602076
710,3322.94244144,0.001614066
720,3322.94244144,0.001667975
730,3322.94244144,0.001679172
740,3322.94244144,0.001691079
750,3322.94244144,0.001702551
760,3322.94244144,0.00171342900001
770,3322.94244144,0.00172449800001
780,3322.94244144,0.00173555200001
790,3322.94244144,0.00174646400001
800,3322.94244144,0.00175783300001
810,3322.94244144,0.001769205
820,3322.94244144,0.001779908
830,3322.94244144,0.001790791
840,3322.94244144,0.00180172300001
850,3322.94244144,0.00181259000001
860,3322.94244144,0.00182310800001
870,3322.94244144,0.00183236000001
880,3322.94244144,0.00184443800001
890,3322.94244144,0.00185839600001
900,3322.94244144,0.00187246700001
910,3322.94244144,0.001883575
920,3322.94244144,0.001902578
930,3322.94244144,0.001914145
940,3322.94244144,0.001925398
950,3322.94244144,0.001936673
960,3322.94244144,0.001948247
970,3322.94244144,0.00195924200001
980,3322.94244144,0.00197014500001
990,3322.94244144,0.00198161100001
1000,3322.94244144,0.00199330200001
1010,3322.94244144,0.00201620800001
1020,3322.94244144,0.00203019200001
1030,3322.94244144,0.00203567700001
1040,3322.94244144,0.00204240600001
1050,3322.94244144,0.00204877800001
1060,3322.94244144,0.002055107
1070,3322.94244144,0.002061702
1080,3322.94244144,0.002068204
1090,3322.94244144,0.002075003
1100,3322.94244144,0.002081888
1110,3322.94244144,0.002088648
1120,3322.94244144,0.002095407
1130,3322.94244144,0.00210488
1140,3322.94244144,0.002111657
1150,3322.94244144,0.002118258
1160,3322.94244144,0.002124184
1170,3322.94244144,0.00213045
1180,3322.94244144,0.002136841
1190,3322.94244144,0.002143083
1200,3322.94244144,0.00214914
1210,3322.94244144,0.002158305
1220,3322.94244144,0.002165681
1230,3322.94244144,0.00217292800001
1240,3322.94244144,0.002180164
1250,3322.94244144,0.002187517
1260,3322.94244144,0.002194446
1270,3322.94244144,0.00220188800001
1280,3322.94244144,0.00221321000001
1290,3322.94244144,0.002220593
1300,3322.94244144,0.002227344
1310,3322.94244144,0.00223333900001
1320,3322.94244144,0.00223995800001
1330,3322.94244144,0.00224652000001
1340,3322.94244144,0.00225296500002
1350,3322.94244144,0.00225928900002
1360,3322.94244144,0.00226670100002
1370,3322.94244144,0.00227372500002
1380,3322.94244144,0.00227984700002
1390,3322.94244144,0.00228603200002
1400,3322.94244144,0.00229439000002
1410,3322.94244144,0.00230629800002
1420,3322.94244144,0.00231360900003
1430,3322.94244144,0.00232047500003
1440,3322.94244144,0.00235598700003
1450,3322.94244144,0.00236263700003
1460,3322.94244144,0.00236982200002
1470,3322.94244144,0.00237680800002
1480,3322.94244144,0.00238344700002
1490,3322.94244144,0.00239004800002
1500,3322.94244144,0.00239737700002
1510,3322.94244144,0.00240442000002
1520,3322.94244144,0.00241123100002
1530,3322.94244144,0.00241800600002
1540,3322.94244144,0.00242461400002
1550,3322.94244144,0.00243139400002
1560,3322.94244144,0.00243770800002
1570,3322.94244144,0.00244436300002
1580,3322.94244144,0.00245028800002
1590,3322.94244144,0.00245644800003
1600,3322.94244144,0.00246260500003
1610,3322.94244144,0.00246860000002
1620,3322.94244144,0.00250161900002
1630,3322.94244144,0.00250668800003
1640,3322.94244144,0.00251217300003
1650,3322.94244144,0.00251736900002
1660,3322.94244144,0.00252433100002
1670,3322.94244144,0.00253123100003
1680,3322.94244144,0.00253795600003
1690,3322.94244144,0.00254314500003
1700,3322.94244144,0.00254798200003
1710,3322.94244144,0.00255296800003
1720,3322.94244144,0.00255807600003
1730,3322.94244144,0.00256453000003
1740,3322.94244144,0.00257216600003
1750,3322.94244144,0.00257745400003
1760,3322.94244144,0.00258243500003
1770,3322.94244144,0.00258888400003
1780,3322.94244144,0.00259535700003
1790,3322.94244144,0.00260156200003
1800,3322.94244144,0.00260746500003
1810,3322.94244144,0.00261400800003
1820,3322.94244144,0.00261979000003
1830,3322.94244144,0.00262551300003
1840,3322.94244144,0.00263187900003
1850,3322.94244144,0.00263928500003
1860,3322.94244144,0.00264601200003
1870,3322.94244144,0.00265327100003
1880,3322.94244144,0.00266039400002
1890,3322.94244144,0.00266754700003
1900,3322.94244144,0.00267474800003
1910,3322.94244144,0.00268181000003
1920,3322.94244144,0.00268849600003
1930,3322.94244144,0.00269594000003
1940,3322.94244144,0.00270263300003
1950,3322.94244144,0.00270935400003
1960,3322.94244144,0.00271633700004
1970,3322.94244144,0.00272287800004
1980,3322.94244144,0.00272963900003
1990,3322.94244144,0.00273637100003
